file,column,ordinal,onset,offset,hand,look
dyad2,childhands,1,62960,65046,right,0
dyad2,childhands,2,79206,98818,both,1
dyad2,childhands,3,121687,223706,,0
dyad2,childhands,4,690746,738933,right,0
dyad2,childhands,5,748904,829683,left,
dyad2,childhands,6,874647,996552,both,1
dyad2,childhands,7,1073755,1075349,left,0
dyad2,childhands,8,1075416,1098630,left,0
dyad2,childhands,9,1099359,1139598,,0
dyad2,childhands,10,1190354,1199955,both,0
dyad2,childhands,11,1205311,1309357,,1
dyad2,childhands,12,1325986,1353225,,1
dyad2,childhands,13,1361091,1475273,right,0
dyad2,childhands,14,1777614,1788228,left,
dyad2,childhands,15,1853415,1878814,right,0
dyad2,childhands,16,2007530,2053000,,
dyad2,childhands,17,2053831,2057271,both,1
dyad2,childhands,18,2089433,2124726,right,0
dyad2,childhands,19,2163038,2250882,,0
dyad2,childhands,20,2272898,2288125,left,1
dyad2,childhands,21,2335575,2456807,,1
dyad2,childhands,22,2537052,2598367,both,1
dyad2,childhands,23,2617993,2680309,right,1
dyad2,childhands,24,2691627,2770061,right,
dyad2,childhands,25,2852447,2876228,both,0
dyad2,childhands,26,2884031,2898599,right,0
dyad2,childhands,27,2947546,3083641,right,
dyad2,childhands,28,3119777,3138625,both,0
dyad2,childhands,29,3154660,3163495,both,1
dyad2,childhands,30,3169610,3262446,both,
dyad2,childhands,31,3307636,3357959,,
dyad2,childhands,32,3428908,3469293,both,
dyad2,childhands,33,3501300,3595071,right,
