file,column,ordinal,onset,offset,hand,look
dyad1,parenthands,1,96019,148073,,
dyad1,parenthands,2,323576,344652,right,1
dyad1,parenthands,3,345184,372673,,0
dyad1,parenthands,4,392624,393581,right,
dyad1,parenthands,5,396504,435797,,1
dyad1,parenthands,6,489463,565105,both,
dyad1,parenthands,7,568384,576733,both,
dyad1,parenthands,8,618409,621604,both,0
dyad1,parenthands,9,626270,707406,both,0
dyad1,parenthands,10,721675,728848,both,1
dyad1,parenthands,11,729460,775459,left,0
dyad1,parenthands,12,791279,797332,left,1
dyad1,parenthands,13,836015,840282,left,
dyad1,parenthands,14,845607,855949,left,0
dyad1,parenthands,15,931694,960470,right,0
dyad1,parenthands,16,970897,976682,right,0
dyad1,parenthands,17,979244,1002035,right,
dyad1,parenthands,18,1023235,1023765,,
dyad1,parenthands,19,1026384,1036953,right,0
dyad1,parenthands,20,1049863,1157436,right,0
dyad1,parenthands,21,1170475,1207963,both,0
dyad1,parenthands,22,1303269,1307532,left,0
dyad1,parenthands,23,1320905,1326046,left,0
dyad1,parenthands,24,1337602,1385918,both,1
dyad1,parenthands,25,1515776,1518353,both,0
dyad1,parenthands,26,1541269,1593299,left,0
dyad1,parenthands,27,1628337,1655879,both,0
dyad1,parenthands,28,1710998,1725821,right,0
dyad1,parenthands,29,1770096,1772257,,
dyad1,parenthands,30,1794377,1798223,left,1
dyad1,parenthands,31,1808971,1812555,right,
dyad1,parenthands,32,1814426,1889085,right,1
dyad1,parenthands,33,1896561,1965114,left,0
dyad1,parenthands,34,2000537,2026574,right,1
dyad1,parenthands,35,2063967,2065568,,1
dyad1,parenthands,36,2134725,2135032,both,0
dyad1,parenthands,37,2165237,2189055,both,1
dyad1,parenthands,38,2251281,2296540,right,1
dyad1,parenthands,39,2320142,2365153,right,
dyad1,parenthands,40,2453858,2471518,both,
dyad1,parenthands,41,2492197,2499520,both,1
dyad1,parenthands,42,2500998,2655690,right,1
dyad1,parenthands,43,2666384,2676445,both,1
dyad1,parenthands,44,2677711,2833860,right,
dyad1,parenthands,45,2847101,2866306,left,0
dyad1,parenthands,46,2974190,2983931,right,
dyad1,parenthands,47,3019471,3029202,both,
dyad1,parenthands,48,3045973,3131518,right,
dyad1,parenthands,49,3299745,3355651,right,1
dyad1,parenthands,50,3456400,3516991,right,0
